Time (h), Inlet temperature (degC)
1933,8.118
1934,8.1132
1935,8.1084
1936,8.1036
1937,8.0988
1938,8.094
1939,8.0892
1940,8.0844
1941,8.0796
1942,8.0748
1943,8.07
1944,8.0652
1945,8.0604
1946,8.0556
1947,8.0508
1948,8.046
1949,8.0412
1950,8.0364
1951,8.0316
1952,8.0268
1953,8.022
1954,8.0172
1955,8.0124
1956,8.0076
1957,8.0028
1958,7.998
1959,7.9932
1960,7.9884
1961,7.9836
1962,7.9788
1963,7.974
1964,7.9692
1965,7.9644
1966,7.9596
1967,7.9548
1968,7.95
1969,7.9452
1970,7.9404
1971,7.9356
1972,7.9308
1973,7.926
1974,7.9212
1975,7.9164
1976,7.9116
1977,7.9068
1978,7.902
1979,7.8972
1980,7.8924
1981,7.8876
1982,7.8828
1983,7.878
1984,7.8732
1985,7.8684
1986,7.8636
1987,7.8588
1988,7.854
1989,7.8492
1990,7.8444
1991,7.8396
1992,7.8348
1993,7.83
1994,7.8252
1995,7.8204
1996,7.8156
1997,7.8108
1998,7.806
1999,7.8011
2000,7.7963
2001,7.7915
2002,7.7867
2003,7.7819
2004,7.7771
2005,7.7723
2006,7.7675
2007,7.7627
2008,7.7579
2009,7.7531
2010,7.7483
2011,7.7435
2012,7.7387
2013,7.7339
2014,7.7291
2015,7.7243
2016,7.7195
2017,7.7147
2018,7.7099
2019,7.7051
2020,7.7003
2021,7.6955
2022,7.6907
2023,7.6859
2024,7.6811
2025,7.6763
2026,7.6715
2027,7.6667
2028,7.6619
2029,7.6571
2030,7.6523
2031,7.6475
2032,7.6427
2033,7.6379
2034,7.6331
2035,7.6283
2036,7.6235
2037,7.6187
2038,7.6139
2039,7.6091
2040,7.6043
2041,7.5995
2042,7.5947
2043,7.5899
2044,7.5851
2045,7.5803
2046,7.5755
2047,7.5707
2048,7.5659
2049,7.5611
2050,7.5563
2051,7.5515
2052,7.5467
2053,7.5419
2054,7.5371
2055,7.5323
2056,7.5275
2057,7.5227
2058,7.5179
2059,7.5131
2060,7.5083
2061,7.5035
2062,7.4987
2063,7.4939
2064,7.4891
2065,7.4843
2066,7.4795
2067,7.4747
2068,7.4699
2069,7.4651
2070,7.4603
2071,7.4555
2072,7.4507
2073,7.4459
2074,7.4411
2075,7.4363
2076,7.4315
2077,7.4267
2078,7.4219
2079,7.4171
